font_id,family,weight,family_class,popularity,gf_last_modified,ttf_path,sha256
BlackOpsOne-400,Black Ops One,400,display,58,2025-09-10,data/fonts/BlackOpsOne-400.ttf,bd8a70e63df108745316c6ad277874cbe139bbb90cbcaf705810ecc089fe59f8
LibreBaskerville-400,Libre Baskerville,400,serif,67,2025-11-20,data/fonts/LibreBaskerville-400.ttf,f5bc4341f15de5e877d8d95b6b14b33e9a3da1f8fef4ed0700ed407f096cffb6
PTSerif-400,PT Serif,400,serif,68,2025-09-04,data/fonts/PTSerif-400.ttf,6902e32186c45fd344901f936d563fe61dfd8d29133e3d97f7163c86b08ede9c
CormorantGaramond-400,Cormorant Garamond,400,serif,72,2025-09-08,data/fonts/CormorantGaramond-400.ttf,6d37a86241a25d63f8fe6018b4c083449886b7165c1acb15edd0f574f690ecf7
SourceCodePro-400,Source Code Pro,400,monospace,73,2025-09-08,data/fonts/SourceCodePro-400.ttf,66a11c481af5bdcdb91a72282bdb0b9bb5992208a72d89e1dd393e5e8255c7a2
LobsterTwo-400,Lobster Two,400,display,81,2025-09-11,data/fonts/LobsterTwo-400.ttf,4d775b0dcbede4e7363db94430ac600b05c57b75238df184fd9bad1cda36c4cb
Fraunces-400,Fraunces,400,serif,82,2025-09-10,data/fonts/Fraunces-400.ttf,3eb6cf0a14feb1876cc464fa093af4e0c5b05dc46dec65619c1d95f2a1ab5aa7
EBGaramond-400,EB Garamond,400,serif,83,2026-06-30,data/fonts/EBGaramond-400.ttf,934aa932b4bc1a75d883f7c3d4d5bbc8278e5e7fcc96d5440bbffd61050cf958
IBMPlexMono-400,IBM Plex Mono,400,monospace,87,2025-09-16,data/fonts/IBMPlexMono-400.ttf,a7fdc993f9f0387caedba4e42521136fa97e4c0837ae6239bf0413ccf8af00c2
InstrumentSerif-400,Instrument Serif,400,serif,89,2025-09-04,data/fonts/InstrumentSerif-400.ttf,a99e3db50076202713812ed541feeb23ffeebb61db1fa6b1cf48fe590d37ef18
Bitter-400,Bitter,400,serif,95,2026-06-30,data/fonts/Bitter-400.ttf,04b9e632f0791325153b80c882bdb6b1f099fdd5de99406e0485aa9a00e5674a
ChangaOne-400,Changa One,400,display,96,2025-09-10,data/fonts/ChangaOne-400.ttf,d62b7b9ca29496cccbde36f25ac3fbddcffce57fbe6877fbcc6e1ca141acc0ec
AlfaSlabOne-400,Alfa Slab One,400,display,103,2025-09-04,data/fonts/AlfaSlabOne-400.ttf,0e834ddadca6dc95b5502c01f8911b7a77f50a350ac7400a6e2d9a3bfb1cd02f
DMSerifDisplay-400,DM Serif Display,400,serif,109,2025-09-11,data/fonts/DMSerifDisplay-400.ttf,c03775f8cc3db88cfea259b231abe13f94e6a3d3cb01c09477a2e42a1f5919e1
LilitaOne-400,Lilita One,400,display,118,2025-09-10,data/fonts/LilitaOne-400.ttf,26ad0d77404141ff7af714353cdf23c980841829dd270fc26e6c2dfcf654bd6d
SourceSerif4-400,Source Serif 4,400,serif,128,2025-09-11,data/fonts/SourceSerif4-400.ttf,8ca4d603b02214e2723f2bdf6c83632551942c9b06702e2bdbcf07f0d8714809
CrimsonText-400,Crimson Text,400,serif,132,2025-05-30,data/fonts/CrimsonText-400.ttf,72c4209c94de3e6ac6f4f2256ae604174102bbed26ec2a14948024cb86f5c10f
Bungee-400,Bungee,400,display,134,2025-09-16,data/fonts/Bungee-400.ttf,ff0ad5d7496a911460625f9052ea50b05e289065be71a1cb21c71896585224d2
Newsreader-400,Newsreader,400,serif,137,2025-09-08,data/fonts/Newsreader-400.ttf,b8f5e0a8bdd6a12c722ca5635d9da87e77ccbb2d0172112e34e00c4e55f2cd5a
Slabo27px-400,Slabo 27px,400,serif,140,2025-09-16,data/fonts/Slabo27px-400.ttf,b328319364e2895cf4e0bfe8b5d2718aad4a54c8642de0b7dd381048d60a03fe
Cinzel-400,Cinzel,400,serif,141,2025-09-10,data/fonts/Cinzel-400.ttf,a0242f6698ae0d3220a29986a09274f9d1eddb4a24da4e50faf387fd1804eb7b
Lobster-400,Lobster,400,display,144,2025-09-08,data/fonts/Lobster-400.ttf,dfdc22543e8a5188aa6d774aa2e9a1f3c9cb363dc814ba1e919ac9e379daec03
Arvo-400,Arvo,400,serif,145,2025-06-02,data/fonts/Arvo-400.ttf,47c25cfa05c6f0e25b8bf235a41747a6006e34a0442285797425da35c2995564
Comfortaa-400,Comfortaa,400,display,146,2025-09-08,data/fonts/Comfortaa-400.ttf,c5633dc8323c788158d456e461bacc78d251f713e33228527765a1f3fa84ec03
Domine-400,Domine,400,serif,147,2025-09-11,data/fonts/Domine-400.ttf,b3e23e3697134f27de4818c9a39b203dea668b2ef0cc991c9951a9e621e24f8b
GravitasOne-400,Gravitas One,400,display,152,2025-09-08,data/fonts/GravitasOne-400.ttf,b3e1124292276e7250a222a85adef89b5ae0eb445472f2d2ee852927e441f185
DMMono-400,DM Mono,400,monospace,157,2025-09-16,data/fonts/DMMono-400.ttf,c97fcd822f825e9e731867b650a39ee678b609bead29385e320171b573ec0910
GeistMono-400,Geist Mono,400,monospace,158,2026-06-08,data/fonts/GeistMono-400.ttf,7022da390e9b401ea35b722f8ed2376948e70add10954bc798839b4bfe17ef3f
BodoniModa-400,Bodoni Moda,400,serif,160,2025-09-16,data/fonts/BodoniModa-400.ttf,7bf8604bdeb63fe00278935c1a7e8595de56dfc053ab43581ca848ffd5ad11ba
SpaceMono-400,Space Mono,400,monospace,164,2025-06-25,data/fonts/SpaceMono-400.ttf,829aad32ab9525358de2a7ebc718d05a6b335e67421aad5e1e09cd1fa796af4e
ZillaSlab-400,Zilla Slab,400,serif,171,2025-09-04,data/fonts/ZillaSlab-400.ttf,42b900cc08813c9afbb961639ba4191507a9f97dbfcd046a783ab59808c8e35d
AbrilFatface-400,Abril Fatface,400,display,174,2025-09-16,data/fonts/AbrilFatface-400.ttf,c426e1328c73a1d1c1c36809ead3353b487ae71d3b387ac8daca2d4b6d9124c0
IBMPlexSerif-400,IBM Plex Serif,400,serif,179,2025-09-16,data/fonts/IBMPlexSerif-400.ttf,f465fe7b08b7668e2255d26bb85fdd56cfdd5fc86e1f8fd73f48254e3c287a49
Spectral-400,Spectral,400,serif,183,2025-09-11,data/fonts/Spectral-400.ttf,a25b5c20bf44dacb3e1ed67a461b390ef5057cabc4b300d65fa9fa33e8bd590c
CrimsonPro-400,Crimson Pro,400,serif,187,2025-09-11,data/fonts/CrimsonPro-400.ttf,d43dfaf98f1cb4ef4052e266538317af16ebe6ea8eed50c03c086f2752682e47
OleoScript-400,Oleo Script,400,display,199,2025-09-16,data/fonts/OleoScript-400.ttf,42fc704eb21c1369a22d8e98213b7d68e29fc4a8e41e02b795b6b22a133e6bf2
TitanOne-400,Titan One,400,display,207,2025-09-02,data/fonts/TitanOne-400.ttf,c14c958677babb78649790ac2e998cea5cb940710aeb044e308cd79ee74a95bd
Baloo2-400,Baloo 2,400,display,213,2025-09-16,data/fonts/Baloo2-400.ttf,1b11c3c65465e3c87a2c1699ecf10fa7a3da9fb7e4ac50a1ae275781ff65eacc
PressStart2P-400,Press Start 2P,400,display,223,2025-09-16,data/fonts/PressStart2P-400.ttf,7b939b816f8ce185dd8c2c59e85fb05d3dcd5cde0c0b0de4a1651cb5af9c2c2b
LuckiestGuy-400,Luckiest Guy,400,display,233,2025-09-08,data/fonts/LuckiestGuy-400.ttf,bde64ad70289579762149264eeaad6f2bf19b542eca5d62ca9fb0d9cb04a47b2
Righteous-400,Righteous,400,display,234,2025-06-02,data/fonts/Righteous-400.ttf,82e2ac84900128219615a1e3a986a1821409e727e2bdb67714b2dcfe4447b946
